Id,Label,indegree,outdegree,degree,weighted indegree,weighted outdegree,weighted degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,pageranks,componentnumber,strongcompnum,stat_inf_class,clustering
﻿(00:07,,0,1,1,0,1,1,11,0.197845,0.205963,0,0,0.000856,0.000029,0,2,42,0
parecer,,17,9,26,19,19,38,10,0.246594,0.263036,69198.015747,0.024039,0.00572,0.000785,0,1,42,0.035385
comissão,,12,10,22,21,21,42,11,0.247596,0.263349,54409.351527,0.018243,0.007115,0.000699,0,1,61,0.035714
especial,,22,33,55,41,41,82,10,0.298863,0.326942,183936.748137,0.046202,0.061089,0.001043,0,1,47,0.06449
senhora,,11,10,21,15,15,30,11,0.277117,0.298113,43454.23818,0.007491,0.021561,0.000617,0,1,2,0.057143
senhores,,29,35,64,127,127,254,11,0.292215,0.31817,278789.212554,0.070853,0.044866,0.001424,0,1,70,0.077737
nton,,4,4,8,4,4,8,11,0.259983,0.278212,6400.549926,0.010889,0.02143,0.000184,0,1,3,0.267857
floriane,,1,1,2,1,1,2,12,0.188561,0.195108,17.197271,0.000763,0.000268,0.000068,0,1,3,0
pesaro,,3,3,6,3,3,6,11,0.232326,0.244731,15609.515637,0.007535,0.008607,0.000188,0,1,3,0.066667
filho,,20,23,43,29,29,58,11,0.286648,0.310773,89051.947502,0.045956,0.048812,0.000918,0,1,17,0.094512
mora,,4,3,7,4,4,8,11,0.260323,0.278495,5435.063437,0.00921,0.020295,0.000164,0,1,3,0.285714
baleia,,2,2,4,2,2,4,12,0.227506,0.23903,1225.841647,0.008238,0.001667,0.000102,0,1,3,0
assumiu,,5,2,7,5,5,10,12,0.215928,0.226241,12152.726971,0.000346,0.000511,0.000271,0,1,37,0
presidência,,18,15,33,23,23,46,11,0.268604,0.289424,106918.260657,0.008399,0.011671,0.000983,0,1,0,0.025568
suplente,,7,7,14,8,8,16,10,0.243783,0.259272,12956.406386,0.011684,0.006222,0.000355,0,1,4,0.044872
secretário,,6,6,12,9,9,18,11,0.244589,0.260757,24205.71058,0.009608,0.003559,0.000307,0,1,4,0.081818
discutiram,,2,2,4,2,2,4,13,0.180588,0.186515,15642.013136,0.000127,0.000077,0.00014,0,1,37,0
matria,,1,1,2,1,1,2,13,0.17292,0.178222,406.501361,0.000003,0.000083,0.000089,0,1,37,0
li,,2,2,4,2,2,4,12,0.209022,0.218419,15768.565814,0.002341,0.000641,0.000149,0,1,37,0
professora,,6,6,12,6,6,12,11,0.220049,0.231726,22209.792811,0.017488,0.006148,0.00025,0,1,37,0.083333
termos,,6,6,12,7,7,14,11,0.239907,0.254129,9587.995677,0.002374,0.004837,0.000304,0,1,0,0.022727
inciso,,3,4,7,6,6,12,11,0.232295,0.244535,10733.306425,0.000535,0.002374,0.000153,0,1,0,0
usaram,,2,1,3,2,2,4,11,0.214567,0.22448,348.41146,0.0005,0.001201,0.000117,0,1,0,0
palavra,,19,13,32,21,21,42,10,0.273125,0.29456,97604.346469,0.033728,0.022863,0.000922,0,1,9,0.055914
discutir,,5,6,11,6,6,12,11,0.235444,0.248751,23004.288919,0.001965,0.004235,0.000284,0,1,42,0.036364
referido,,1,1,2,1,1,2,12,0.206207,0.214966,6.416309,0.000151,0.000171,0.000069,0,1,42,0.5
par,,3,2,5,3,3,6,11,0.259748,0.277723,7683.194396,0.004814,0.013517,0.000168,0,1,42,0.15
sen,,1,1,2,1,1,2,13,0.173616,0.178916,5175,0.002176,0,0.000056,0,1,73,0
moreir,,1,1,2,1,1,2,12,0.210048,0.219403,5175,0,0.001438,0.000076,0,1,73,0
delegado,,9,9,18,9,9,18,11,0.265831,0.285533,39394.155137,0.040374,0.029611,0.000323,0,1,73,0.296703
morrei,,1,1,2,1,1,2,15,0.132711,0.13515,5183,0.001055,0,0.00006,0,1,37,0
ciên,,1,1,2,1,1,2,14,0.152991,0.156609,5183,0,0.000005,0.00008,0,1,37,0
matéria,,7,8,15,8,8,16,12,0.2199,0.230559,40741.714895,0.002158,0.000752,0.000334,0,1,37,0.076923
revero,,1,1,2,1,1,2,11,0.197852,0.205971,0,0.000151,0.000856,0.000069,0,1,42,0.5
vidgal,,2,2,4,2,2,4,12,0.214114,0.224717,5310.126411,0.004932,0.006067,0.000142,0,1,3,0.166667
lip,,1,1,2,1,1,2,13,0.181722,0.187424,32.258606,0.000216,0.000501,0.000089,0,1,3,0
irmão,,5,5,10,5,5,10,12,0.222032,0.23261,28483.200363,0.014064,0.006711,0.000241,0,1,3,0.033333
raaa,,1,1,2,1,1,2,14,0.150855,0.15441,5181.698366,0.000239,0,0.00007,0,1,3,0
ramala,,1,1,2,1,1,2,13,0.177619,0.18331,5181.698366,0,0.000012,0.000088,0,1,3,0
discutiu,,1,1,2,1,1,2,11,0.197852,0.205971,69.097928,0.000085,0.000856,0.000061,0,1,0,0
nasimento,,1,1,2,1,1,2,13,0.166925,0.171329,5179.172894,0.000253,0,0.000088,0,1,1,0
reassumiu,,1,1,2,1,1,2,12,0.200341,0.207859,5179.172894,0,0.000256,0.000104,0,1,1,0
direção,,6,5,11,6,6,12,11,0.250484,0.265482,19926.32082,0.00718,0.005871,0.000368,0,1,1,0.054545
trabalhos,,8,7,15,9,9,18,11,0.255517,0.27215,32578.376732,0.00037,0.007047,0.000482,0,1,61,0.019048
encerrada,,1,1,2,1,1,2,12,0.184212,0.190224,29.611686,0.000251,0.000017,0.000087,0,1,20,0
discussão,,2,2,4,2,2,4,11,0.22576,0.236917,5285.208662,0.000482,0.007448,0.00013,0,1,20,0
senhor,,159,11,170,359,359,718,11,0.27828,0.299456,571762.798984,0.184052,0.019759,0.007652,0,1,66,0.030974
presidente,,144,287,431,570,570,1140,10,0.363458,0.416368,3169915.726775,0.148433,0.347334,0.00774,0,1,54,0.015042
encerrou,,3,3,6,3,3,6,12,0.206223,0.21473,4805.485766,0.017467,0.000209,0.000073,0,1,49,0.3
sessão,,31,29,60,34,34,68,10,0.276171,0.297991,259955.023364,0.034631,0.015225,0.001643,0,1,0,0.037907
deliberativa,,1,2,3,3,3,6,11,0.206478,0.21507,5455.9684,0.000542,0.000204,0.000077,0,1,1,0
extraordinária,,1,1,2,1,1,2,12,0.203419,0.211493,145.542665,0.000007,0.000651,0.000062,0,1,1,0
domingo,,6,6,12,6,6,12,11,0.255315,0.271759,16120.43305,0.018268,0.006527,0.000249,0,1,1,0.045455
abril,,3,3,6,4,4,8,12,0.217233,0.227669,2995.423233,0.001925,0.000381,0.000145,0,1,1,0.033333
horas,,8,8,16,9,9,18,11,0.234388,0.247493,30091.787665,0.001268,0.001055,0.000335,0,1,1,0.082418
seguinte,,3,4,7,4,4,8,12,0.228561,0.240502,21303.54039,0.002663,0.001935,0.000141,0,1,58,0.033333
ordem,,10,9,19,12,12,24,11,0.254249,0.270624,36189.264861,0.00771,0.004995,0.000412,0,1,4,0.029412
dia,,37,39,76,42,42,84,11,0.293574,0.319809,272244.141343,0.046476,0.045888,0.001617,0,1,17,0.026915
votação,,30,25,55,32,32,64,11,0.274983,0.297277,199614.015405,0.026086,0.018806,0.00134,0,1,67,0.038084
turno,,2,2,4,4,4,8,11,0.219424,0.22919,865.035223,0.000691,0.001115,0.000125,0,1,21,0
único,,7,7,14,9,9,18,11,0.249146,0.264938,29702.491757,0.003766,0.006119,0.000401,0,1,21,0.010989
destinada,,1,3,4,3,3,6,11,0.197897,0.206264,10389.291019,0.002176,0.000858,0.000056,0,1,2,0
apcer,,1,1,2,1,1,2,12,0.196485,0.20409,110.937039,0.000031,0.000286,0.000045,0,1,2,0
denúncia,,14,16,30,18,18,36,11,0.244474,0.259904,97231.353954,0.008035,0.003516,0.000706,0,1,2,0.004598
república,,5,24,29,27,27,54,11,0.271749,0.292922,97635.987279,0.017572,0.013388,0.000249,0,1,27,0.012315
crime,,34,23,57,79,79,158,10,0.297642,0.324034,267205.353116,0.026654,0.051235,0.001802,0,1,27,0.042745
responsabilidade,,42,78,120,101,101,202,10,0.317975,0.35206,566951.850389,0.047706,0.106541,0.001972,0,1,51,0.032309
oferecida,,2,3,5,4,4,8,11,0.232964,0.245762,5697.056792,0.004464,0.003729,0.000096,0,1,9,0
ata,,1,1,2,1,1,2,12,0.217735,0.227481,59.167226,0.000133,0.006555,0.000056,0,1,9,0
passa-se,,2,2,4,2,2,4,11,0.21369,0.223531,1622.324806,0.019885,0.00116,0.000079,0,1,4,0.25
número,,6,7,13,7,7,14,10,0.265354,0.285268,50943.399487,0.014428,0.018944,0.000321,0,1,8,0.060606
parcer,,1,1,2,1,1,2,12,0.196485,0.20409,110.937039,0.000031,0.000286,0.000045,0,1,2,0
admissibilidade,,22,19,41,27,27,54,10,0.267217,0.286518,140104.027358,0.038443,0.016019,0.001128,0,1,36,0.044097
jurídica,,8,8,16,9,9,18,11,0.262861,0.280921,29286.970974,0.005495,0.010699,0.000368,0,1,62,0.05
política,,51,56,107,67,67,134,11,0.307236,0.337187,561123.060652,0.04089,0.069782,0.002526,0,1,78,0.024222
acusação,,4,5,9,5,5,10,11,0.268702,0.287651,12324.537945,0.003417,0.00592,0.000184,0,1,37,0.041667
consequente,,2,1,3,2,2,4,12,0.20069,0.208363,1282.853085,0.000218,0.000021,0.000099,0,1,37,0
autorização,,8,7,15,11,11,22,11,0.251031,0.26648,69016.104301,0.000594,0.003598,0.000498,0,1,10,0
instaura,,1,1,2,1,1,2,11,0.229412,0.240849,274.399697,0.000128,0.000949,0.00009,0,1,10,0
relator,,28,34,62,40,40,80,10,0.289696,0.31549,210779.399784,0.026039,0.039406,0.001342,0,1,67,0.057331
Deputado,,54,122,176,185,185,370,10,0.320119,0.358798,797355.275549,0.077674,0.143127,0.002994,0,1,19,0.028145
jova,,3,6,9,6,6,12,11,0.231082,0.244086,16532.044546,0.007842,0.00574,0.000131,0,1,0,0.069444
informa,,1,3,4,3,3,6,12,0.222796,0.233634,1341.667302,0.000416,0.001015,0.000085,0,1,3,0
discursos,,4,4,8,4,4,8,11,0.257859,0.274365,20522.667745,0.000036,0.009144,0.00022,0,1,3,0
dado,,7,7,14,7,7,14,11,0.259332,0.277425,42105.860649,0.017445,0.010693,0.000353,0,1,3,0.065934
lido,,1,1,2,1,1,2,12,0.1895,0.196188,5181.071982,0.000381,0,0.000072,0,1,3,0
