#Sentença,Texto da Sentença,Polaridade,Subjetividade
1,﻿(00:07 ti parecer comissão especial senhora senhores nton floriane pesaro filho mora baleia assumiu presidência segundo suplente secretário discutiram matria li professora assumiu presidência termos inciso,0.0,0.0
2,usaram palavra discutir referido par discutir parecer comissão especial,0.0,0.0
3,sen moreir orl delegado morrei otvio ciên discutiram matéria assumiu presidência usaram palavra discutir revero parecer vidgal lip irmão raaa ramala assumiu presidência senhor termos inciso,0.0,0.0
4,2º discutiu parecer comissão nasimento reassumiu direção trabalhos encerrada discussão senhor presidente encerrou trabalhos sessão deliberativa extraordinária,0.0,0.0
5,domingo abril horas seguinte ordem dia votação turno único parecer comissão especial destinada apcer denúncia senhora presidente república crime responsabilidade oferecida ata senhor presidente passa-se ordem dia único denúncia crime responsabilidade número votação turno único parecer comissão especial destinada parcer denúncia senhora presidente república crime responsabilidade oferecida senhores admissibilidade jurídica política acusação consequente autorização instaura crime responsabilidade relator,0.0,0.0
6,Deputado jova presidência informa discursos dado lido recepcionados processo deliberação matéria esclarecimentos,0.0,0.0
7,processo,0.0,0.0
8,votação oferecida palavra relator matéria,0.0,0.0
9,Deputado jova minutos haverá encaminhamento votação líderes poderão usar palavra tempo proporcional bancada acrescido minuto correspondente orientação bancada presidência câmara informa votação matéria dará conformidade disposto artigo Parágrafo 4º regimento interno votação nominal ostensiva voto aberto,0.0,0.0
10,feita estado região alternância chamado estado região chamada nominal deputados mesmo estado ocorrerá ordem alfabética presidência fará chamada parlamentares votarão abstenção microfone localizado centro plenário forma possa identificar voto chamada,0.0,0.0
11,Ausentes ocorrerá término chamada,0.0,0.0
12,Deputados estado declarações escritas voto recepcionadas conformidade disposto parágrafo único artigo regimento interno conclusão processo votação membros mesa repetirão nome deputado consignar voto seguir indicarão total votos,0.0,0.75
13,abstenção ausências devem anunciar número total votos acompanhado,0.0,0.75
14,Plenário tem esclarecimento fazer faça gentileza,0.0,0.0
15,Dá licença queria pedir deputada queria fazer questão esclarecimento presidência Deputado hora quinal queria indagar excelência esclarecimento falhamos interpretação desculpamos é interpretação excelência orientou haverá primeira chamada estados votação eventuais retardatários ausentes excelência chamará estados sequência chamada segunda chamada critério tem disposição expressa parlamentares presentes votar hora chamados presidência fazer segunda chamada,0.0,0.0
16,fim estado,0.0,0.0
17,gente pode chamar chegou critério presidência adotar acordo pal senhor presidente claro critério exelência adotou agradeço favor tenho pedido convido presidente Comissão especial roo mesa gente genza relator membros mesa fazer chamada presidente,0.0,0.0
18,Comissão especial bom primeiro registrar relação primeiro pedido esclarecimento acordado colégio líderes partir fala excelência chamados ausentes estados gostaria fazer registro,0.0,0.0
19,Ah dia entendo plenário apreciar admissibilidade interpretação rejeitará relator relatório relator acatando abertura processo mesa mesa ladeada seguida manifestantes partes,0.0,0.0
20,Considero adequado obrigado quero registrar,0.0,0.0
21,devem retirar mesa manifestantes posições mesa mesa plenário deputados têm liberdade posicionar cabe presidente casa posso determinar sente mesa posso determinar fique espaço plenário tenho oses discurso retórico simbólico imagem direito defesa excelência tem direito permanecer problema excelência convidado for cono pedir respeito haja interrupção possa cortar interrupção implicar gente haver tipo prorrogação mesma forma fala líderes independente posições têm direito expressar posição,0.0,0.0
22,Presidente esclarecimento,0.0,0.0
23,Presidente votação votação,0.0,0.0
24,Deputado votação,0.0,0.0
25,Deputado,0.0,0.0
26,Presidente senhor afirmou entendimento segunda chamada deve feita estados feito matéria matéria esclarecida há esclarecimento repetir mesma coisa questão presidente,0.0,0.0
27,Presidente há questão questão protelação voltar falar assunto esclarecer divulgamos escrito procedimento tiver cuidado ler escrito tinha menção segunda chamada esendo aunda chamada indagado parlamentares votar quer votar ausente assuma ausência conceda palavra,0.0,0.0
28,Deputado ar relator matéria minutos acompanha rádio TV cmara aão câmara deputados vota parecer deputado jovir anantes pede admissibilidade seja abertura processo impeachment presidente momento plenário lotado sendo mesa diretora pode ouvir fundo deputados reclamando manifestando existem deputados reclamando deputados favor impeachment estão mesa diretora momento excelência respeitar plenário excelência respeitar plenário grito excelência ganhar peça segurança perm retire local adequado peça segurança concedo,0.0,0.0
29,palavra relator minutos pesso peço relator posicionado peço quero quero gentileza tribuna tribuna tribuna tribuna reservada orador excelência ganhar gro excelência posso pedir ficar tirar Deputado mando tirar exelência local excelência pode ficar excelência venha fica deputado peço retirado parlamentar gente possa continuar sessão excelência excelência local cabe parlamentar ficar excelência excelência manda casa cumpr reg relator relator posicionado quero ver relator favor põe visor ver relator visor ver relator acompanha rádio,0.0,0.0
30,câmara,0.0,0.0
31,deputados,0.0,0.0
