Source,Target
﻿(00:07,parecer
parecer,comissão
comissão,especial
especial,senhora
senhora,senhores
senhores,nton
nton,floriane
floriane,pesaro
pesaro,filho
filho,mora
mora,baleia
baleia,assumiu
assumiu,presidência
presidência,suplente
suplente,secretário
secretário,discutiram
discutiram,matria
matria,li
li,professora
professora,assumiu
assumiu,presidência
presidência,termos
termos,inciso
inciso,usaram
usaram,palavra
palavra,discutir
discutir,referido
referido,par
par,discutir
discutir,parecer
parecer,comissão
comissão,especial
especial,sen
sen,moreir
moreir,delegado
delegado,morrei
morrei,ciên
ciên,discutiram
discutiram,matéria
matéria,assumiu
assumiu,presidência
presidência,usaram
usaram,palavra
palavra,discutir
discutir,revero
revero,parecer
parecer,vidgal
vidgal,lip
lip,irmão
irmão,raaa
raaa,ramala
ramala,assumiu
assumiu,presidência
presidência,termos
termos,inciso
inciso,discutiu
discutiu,parecer
parecer,comissão
comissão,nasimento
nasimento,reassumiu
reassumiu,direção
direção,trabalhos
trabalhos,encerrada
encerrada,discussão
discussão,senhor
senhor,presidente
presidente,encerrou
encerrou,trabalhos
trabalhos,sessão
sessão,deliberativa
deliberativa,extraordinária
extraordinária,domingo
domingo,abril
abril,horas
horas,seguinte
seguinte,ordem
ordem,dia
dia,votação
votação,turno
turno,único
único,parecer
parecer,comissão
comissão,especial
especial,destinada
destinada,apcer
apcer,denúncia
denúncia,senhora
senhora,presidente
presidente,república
república,crime
crime,responsabilidade
responsabilidade,oferecida
oferecida,ata
ata,senhor
senhor,presidente
presidente,passa-se
passa-se,ordem
ordem,dia
dia,único
único,denúncia
denúncia,crime
crime,responsabilidade
responsabilidade,número
número,votação
votação,turno
turno,único
único,parecer
parecer,comissão
comissão,especial
especial,destinada
destinada,parcer
parcer,denúncia
denúncia,senhora
senhora,presidente
presidente,república
república,crime
crime,responsabilidade
responsabilidade,oferecida
oferecida,senhores
senhores,admissibilidade
admissibilidade,jurídica
jurídica,política
política,acusação
acusação,consequente
consequente,autorização
autorização,instaura
instaura,crime
crime,responsabilidade
responsabilidade,relator
relator,Deputado
Deputado,jova
jova,presidência
presidência,informa
informa,discursos
discursos,dado
dado,lido
lido,recepcionados
recepcionados,processo
processo,deliberação
deliberação,matéria
matéria,esclarecimentos
esclarecimentos,votação
votação,oferecida
oferecida,palavra
palavra,relator
relator,Deputado
Deputado,jova
jova,minutos
minutos,haverá
haverá,encaminhamento
encaminhamento,votação
votação,líderes
líderes,poderão
poderão,usar
usar,palavra
palavra,tempo
tempo,proporcional
proporcional,bancada
bancada,acrescido
acrescido,minuto
minuto,correspondente
correspondente,orientação
orientação,bancada
bancada,presidência
presidência,informa
informa,votação
votação,matéria
matéria,dará
dará,conformidade
conformidade,disposto
disposto,artigo
artigo,Parágrafo
Parágrafo,4º
4º,regimento
regimento,interno
interno,votação
votação,nominal
nominal,ostensiva
ostensiva,voto
voto,aberto
aberto,feita
feita,estado
estado,região
região,alternância
alternância,chamado
chamado,estado
estado,região
região,chamada
chamada,nominal
nominal,deputados
deputados,estado
estado,ocorrerá
ocorrerá,ordem
ordem,alfabética
alfabética,presidência
presidência,fará
fará,chamada
chamada,parlamentares
parlamentares,votarão
votarão,abstenção
