Source,Target
Ausentes,Plenário
Plenário,Deputado
Deputado,Deputado
Deputado,Públicas
Fazenda,União
União,Debate
Debate,Estado
Estado,Federativa
Federativa,Imparcial
Imparcial,Câmara
Câmara,impitma
impitma,Ausentes
Ausentes,Encruzilhada
Encruzilhada,Ministro
Ministro,Progressista
Progressista,República
República,República
República,República
República,Império
Império,Federais
Federais,União
União,Amazonas
Amazonas,Editorial
Editorial,rouba
rouba,Central
Central,Obrigado
Obrigado,Povo
Povo,Nordeste
Nordeste,Parlamento
Parlamento,Trabalhador
Trabalhador,Trabalhador
Trabalhador,Cantar
Cantar,Estado
Estado,Deputado
Deputado,República
República,Nordeste
Nordeste,Nacional
Nacional,Federais
Federais,Érica
Érica,Nacional
Nacional,Roraima
Roraima,República
República,País
País,esperanç
esperanç,Maranhão
Maranhão,República
República,Câmara
Câmara,Parlamento
Parlamento,Continuará
Continuará,País
País,Jundiaí
Jundiaí,Fortaleza
Fortaleza,República
República,vocês
vocês,Deputado
Deputado,Encruzilhada
Encruzilhada,República
República,Câmara
Câmara,Ausentes
Ausentes,estado
estado,Roraima
Roraima,Roraima
Roraima,Total
Total,Total Jonathas
Total Jonathas,Total
Total,Total
Total,Total
Total,Total
Total,Total
Total,Total
Total,Total
Total,Total buzato
Total buzato,Total
Total,Total
Total,Total
Total,Feliz
Feliz,Total
Total,Total
Total,Total
Total,Total
Total,Total
Total,Total
Total,Total
Total,Total
Total,Total
Total,Total
Total,Total
Total,Total
Total,Faro
Faro,Pará
Pará,Estado
Estado,Total
Total,Total
Total,Total
Total,Total
Total,Estado
Estado,Total
Total,Amado
Amado,Pará
Pará,Total
Total,Total
Total,Total
Total,Total
Total,Total
Total,Constituição
Constituição,C
C,Estado
Estado,Total
Total,Total
Total,Total
Total,Total
Total,Total
Total,Gerais
Gerais,Total
Total,Total
Total,Aplausos
Aplausos,Total
Total,Amazonas
Amazonas,Total
Total,Total
Total,Estado
Estado,Amazonas
Amazonas,Amazonas
Amazonas,Amazonas
Amazonas,Total
Total,Estado
Estado,Amazonas
Amazonas,Total
Total,Amazonas
Amazonas,Deputado
Deputado,Amazonas
Amazonas,Amazonas
Amazonas,Total
Total,Total
Total,Total
Total,Total
Total,Estado
Estado,Total
Total,Total
Total,Estado
Estado,Parlamento
Parlamento,Total
Total,Estado
Estado,Total
Total,Estado
Estado,Total
Total,Total
Total,Total
Total,República
República,Total
Total,Total prz senhor presidente medo
Total prz senhor presidente medo,Deputado
Deputado,Total
Total,Total
Total,Deputado
Deputado,Total
Total,Total
Total,Total
Total,Total
Total,Presidente
Presidente,Estado
Estado,Total
Total,Total
Total,Estado
Estado,Mandato
Mandato,Total
Total,Total
Total,Sao
Sao,Total
Total,Total
Total,Total
Total,República
República,Total
Total,Estado
Estado,Total
Total,Total
Total,Estado
Estado,Total
Total,Oeste
Oeste,Progresso
Progresso,Estado
Estado,Total
Total,Total
Total,Total
Total,Total
Total,Estado
Estado,Total
Total,Deputado Olímpio
Deputado Olímpio,Santista
Santista,Deputado
